W123113080090601,5040,TAMIL NADU,Kancheepuram,THIRUKALUKUNDRUM,Sadras,12.5269,80.1622,2021,7.82,1328,0.00,329,178,122,73,,460,128,34,90,21,0.70,,,7.84
W124415079503001,5041,TAMIL NADU,Kancheepuram,UTHIRAMERUR,Thirumukkudal,12.7564,79.8592,2021,7.20,640,0.00,189,71,35,37,,160,28,22,78,4,0.33,,,0.50
W123630079400001,5042,TAMIL NADU,Kancheepuram,THIRUKALUKUNDRUM,Tirukalukundram,12.6061,80.0560,2021,7.70,458,0.00,98,85,34,8,,180,24,29,23,8,0.51,,,0.56
W124345080113001,5043,TAMIL NADU,Kancheepuram,THIRUPORUR,Tiruporur,12.7318,80.1891,2021,7.86,1639,0.00,415,213,160,48,,280,24,54,255,9,1.25,,,1.66
W125210080145001,5044,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Uthandi,12.8600,80.2417,2021,7.47,409,0.00,73,64,59,13,,140,20,22,25,8,0.53,,,0.22
W124843079563201,5045,TAMIL NADU,Kancheepuram,KUNDRATHUR,Vadakkupattu,12.8117,79.9425,2021,7.10,960,0.00,281,106,25,41,,310,72,32,40,1,0.36,,,1.56
W125400079543501,5046,TAMIL NADU,Kancheepuram,SRIPERUMBUDHUR,Vadekkal (Palnallur),12.9036,79.9139,2021,7.10,3080,0.00,366,638,155,25,,440,64,68,398,29,0.77,,,71.30
W125401080101601,5047,TAMIL NADU,Kancheepuram,ST_THOMAUS_MT,Vengaivasal,12.9004,80.1711,2021,7.29,2680,0.00,604,504,88,21,,780,164,90,239,20,0.52,,,0.26
W081500077310001,5048,TAMIL NADU,Kanyakumari,THOVALAI,Aralvaimozhi,8.2500,77.5167,2021,7.90,972,0.00,342,106,16,26,,290,88,17,77,5,0.86,,,1.00
W081530077271001,5049,TAMIL NADU,Kanyakumari,THOVALAI,Boothapandy,8.2583,77.4528,2021,7.80,1015,0.00,427,99,17,36,,250,68,19,120,4,0.77,,,3.11
W081145077180001,5050,TAMIL NADU,Kanyakumari,KURUNTHANCODE,Chettiarmadam,8.1917,77.2953,2021,7.80,250,0.00,24,50,6,13,,80,8,15,12,5,0.30,,,0.47
W081730077163001,5051,TAMIL NADU,Kanyakumari,THUCKALAY,Kattudurai,8.2839,77.2719,2021,7.30,843,0.00,85,170,20,47,,200,20,36,56,27,0.67,,,0.00
W081040077154501,5052,TAMIL NADU,Kanyakumari,KURUNTHANCODE,Kolachal,8.1778,77.2625,2021,7.10,169,0.00,37,21,13,8,,70,12,10,4,2,0.15,,,0.00
W082230077174501,5053,TAMIL NADU,Kanyakumari,THIRUVATTAR,Kulasekharan,8.3522,77.2858,2021,7.00,695,0.00,122,78,21,69,,120,32,10,60,26,0.32,,,0.00
W081320077153001,5054,TAMIL NADU,Kanyakumari,KILLIYOOR,Vellaivilai,8.2222,77.2583,2021,7.60,729,0.00,67,156,56,12,,120,20,17,86,3,0.44,,,0.08
W081330077213001,5055,TAMIL NADU,Kanyakumari,KURUNTHANCODE,Villukuri,8.2250,77.3583,2021,7.30,667,0.00,67,92,59,24,,160,36,17,38,12,0.22,,,0.00
W080620077324501,5056,TAMIL NADU,Kanyakumari,AGASTHEESWARAM,Kundal(west),8.1031,77.5439,2021,7.60,1386,0.00,250,227,141,24,,260,44,36,168,2,1.53,,,0.00
